3.67 -22.107530 -21.119987 -20.168831 -19.230933 -18.334801 -17.520677 -16.916591 -16.713520 -16.685283
3.70 -22.048569 -21.061853 -20.112637 -19.175162 -18.277782 -17.460847 -16.860606 -16.663770 -16.636694
3.73 -21.990524 -21.004663 -20.057341 -19.120292 -18.222017 -17.403025 -16.807716 -16.617102 -16.591150
3.76 -21.933619 -20.948638 -20.003154 -19.066533 -18.167688 -17.347319 -16.757886 -16.573451 -16.548583
3.79 -21.878032 -20.893957 -19.950248 -19.014057 -18.114934 -17.293801 -16.711056 -16.532726 -16.508905
3.82 -21.823904 -20.840759 -19.898757 -18.962999 -18.063854 -17.242511 -16.667142 -16.494820 -16.472003
3.85 -21.771338 -20.789147 -19.848782 -18.913462 -18.014513 -17.193462 -16.626044 -16.459606 -16.437754
3.88 -21.720406 -20.739190 -19.800392 -18.865518 -17.966948 -17.146643 -16.587647 -16.426950 -16.406021
3.91 -21.671151 -20.690931 -19.753632 -18.819213 -17.921168 -17.102027 -16.551826 -16.396708 -16.376662
3.94 -21.623593 -20.644390 -19.708521 -18.774570 -17.877165 -17.059569 -16.518448 -16.368736 -16.349531
3.97 -21.577730 -20.599563 -19.665061 -18.731592 -17.834911 -17.019211 -16.487376 -16.342887 -16.324483
4.00 -21.533545 -20.556433 -19.623239 -18.690264 -17.794366 -16.980885 -16.458474 -16.319017 -16.301373
4.03 -21.491007 -20.514968 -19.583028 -18.650559 -17.755481 -16.944519 -16.431604 -16.296986 -16.280064
4.06 -21.450074 -20.475124 -19.544389 -18.612439 -17.718199 -16.910031 -16.406633 -16.276660 -16.260423
4.09 -21.410694 -20.436852 -19.507279 -18.575856 -17.682458 -16.877339 -16.383430 -16.257909 -16.242321
4.12 -21.372810 -20.400091 -19.471645 -18.540757 -17.648191 -16.846356 -16.361873 -16.240614 -16.225641
4.15 -21.336358 -20.364780 -19.437432 -18.507082 -17.615331 -16.816998 -16.341841 -16.224661 -16.210270
4.18 -21.301273 -20.330854 -19.404580 -18.474768 -17.583809 -16.789178 -16.323224 -16.209942 -16.196103
4.21 -21.267485 -20.298243 -19.373027 -18.443753 -17.553559 -16.762812 -16.305916 -16.196360 -16.183044
4.24 -21.234924 -20.266879 -19.342712 -18.413969 -17.524512 -16.737818 -16.289818 -16.183824 -16.171003
4.27 -21.203520 -20.236692 -19.313570 -18.385352 -17.496602 -16.714116 -16.274838 -16.172249 -16.159897
4.30 -21.173201 -20.207614 -19.285539 -18.357835 -17.469766 -16.691629 -16.260891 -16.161557 -16.149651
