downloaded from http://massey.dur.ac.uk/drf/HD_He/He-HD.rate_coefficients
HD - He (Roueff, E. & Zeippen, C.J., 1999, A&A, 343, 1005)

       J       E(K)
   3.0    1.249D-11 1.570D-11 6.594D-11 0.000D+00 7.134D-11 1.293D-11 3.847D-12 1.163D-12 3.390D-13 9.361D-14
   4.0    2.388D-12 3.913D-12 8.033D-12 4.637D-11 0.000D+00 6.178D-11 1.093D-11 2.928D-12 8.546D-13 2.228D-13
   5.0    4.076D-13 6.318D-13 1.425D-12 4.417D-12 3.246D-11 0.000D+00 5.211D-11 8.974D-12 2.220D-12 5.667D-13
   6.0    5.803D-14 8.504D-14 1.905D-13 5.709D-13 2.494D-12 2.264D-11 0.000D+00 4.333D-11 7.223D-12 1.550D-12
   7.0    6.579D-15 9.953D-15 2.089D-14 6.297D-14 2.440D-13 1.423D-12 1.581D-11 0.000D+00 3.572D-11 5.648D-12
   8.0    6.268D-16 9.395D-16 2.010D-15 5.704D-15 2.212D-14 1.094D-13 8.190D-13 1.110D-11 0.000D+00 2.919D-11
   9.0    4.811D-17 7.148D-17 1.506D-16 4.213D-16 1.543D-15 7.467D-15 4.700D-14 4.693D-13 7.806D-12 0.000D+00

   temperature cinetique=   760.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 5.835D-11 1.180D-11 5.176D-12 1.541D-12 5.065D-13 1.682D-13 5.295D-14 1.645D-14 4.809D-15
   1.0    1.478D-10 0.000D+00 8.152D-11 1.632D-11 6.336D-12 1.973D-12 6.189D-13 2.012D-13 6.194D-14 1.795D-14
   2.0    3.559D-11 9.703D-11 0.000D+00 8.037D-11 1.523D-11 5.212D-12 1.625D-12 4.947D-13 1.554D-13 4.431D-14
   3.0    1.323D-11 1.646D-11 6.810D-11 0.000D+00 7.293D-11 1.338D-11 4.038D-12 1.238D-12 3.659D-13 1.029D-13
   4.0    2.605D-12 4.229D-12 8.539D-12 4.826D-11 0.000D+00 6.339D-11 1.136D-11 3.091D-12 9.157D-13 2.429D-13
   5.0    4.601D-13 7.074D-13 1.570D-12 4.757D-12 3.406D-11 0.000D+00 5.368D-11 9.381D-12 2.357D-12 6.125D-13
   6.0    6.817D-14 9.899D-14 2.184D-13 6.404D-13 2.723D-12 2.394D-11 0.000D+00 4.480D-11 7.591D-12 1.659D-12
   7.0    8.072D-15 1.211D-14 2.501D-14 7.385D-14 2.787D-13 1.574D-12 1.686D-11 0.000D+00 3.709D-11 5.977D-12
   8.0    8.059D-16 1.198D-15 2.524D-15 7.018D-15 2.654D-14 1.272D-13 9.180D-13 1.192D-11 0.000D+00 3.043D-11
   9.0    6.544D-17 9.639D-17 2.000D-16 5.478D-16 1.955D-15 9.176D-15 5.571D-14 5.336D-13 8.450D-12 0.000D+00

   temperature cinetique=   780.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 5.914D-11 1.200D-11 5.326D-12 1.604D-12 5.334D-13 1.795D-13 5.724D-14 1.800D-14 5.360D-15
   1.0    1.505D-10 0.000D+00 8.280D-11 1.671D-11 6.566D-12 2.071D-12 6.575D-13 2.166D-13 6.753D-14 1.992D-14
   2.0    3.665D-11 9.941D-11 0.000D+00 8.182D-11 1.567D-11 5.431D-12 1.716D-12 5.292D-13 1.684D-13 4.889D-14
   3.0    1.397D-11 1.722D-11 7.023D-11 0.000D+00 7.449D-11 1.383D-11 4.230D-12 1.315D-12 3.939D-13 1.127D-13
   4.0    2.832D-12 4.554D-12 9.051D-12 5.014D-11 0.000D+00 6.498D-11 1.180D-11 3.256D-12 9.787D-13 2.642D-13
   5.0    5.166D-13 7.881D-13 1.722D-12 5.107D-12 3.565D-11 0.000D+00 5.523D-11 9.790D-12 2.498D-12 6.604D-13
   6.0    7.951D-14 1.144D-13 2.488D-13 7.146D-13 2.960D-12 2.526D-11 0.000D+00 4.627D-11 7.964D-12 1.772D-12
   7.0    9.816D-15 1.460D-14 2.971D-14 8.599D-14 3.164D-13 1.734D-12 1.791D-11 0.000D+00 3.846D-11 6.313D-12
   8.0    1.025D-15 1.511D-15 3.138D-15 8.553D-15 3.157D-14 1.468D-13 1.024D-12 1.277D-11 0.000D+00 3.167D-11
   9.0    8.783D-17 1.283D-16 2.623D-16 7.042D-16 2.453D-15 1.117D-14 6.554D-14 6.033D-13 9.116D-12 0.000D+00

   temperature cinetique=   800.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 5.991D-11 1.219D-11 5.475D-12 1.668D-12 5.608D-13 1.911D-13 6.172D-14 1.964D-14 5.955D-15
   1.0    1.531D-10 0.000D+00 8.406D-11 1.710D-11 6.796D-12 2.170D-12 6.971D-13 2.327D-13 7.342D-14 2.205D-14
   2.0    3.769D-11 1.017D-10 0.000D+00 8.325D-11 1.610D-11 5.652D-12 1.809D-12 5.648D-13 1.820D-13 5.379D-14
   3.0    1.471D-11 1.798D-11 7.234D-11 0.000D+00 7.602D-11 1.427D-11 4.424D-12 1.394D-12 4.230D-13 1.231D-13
   4.0    3.067D-12 4.889D-12 9.570D-12 5.200D-11 0.000D+00 6.654D-11 1.223D-11 3.423D-12 1.044D-12 2.865D-13
   5.0    5.771D-13 8.738D-13 1.881D-12 5.465D-12 3.725D-11 0.000D+00 5.677D-11 1.020D-11 2.641D-12 7.102D-13
   6.0    9.211D-14 1.315D-13 2.818D-13 7.935D-13 3.207D-12 2.659D-11 0.000D+00 4.773D-11 8.340D-12 1.888D-12
   7.0    1.184D-14 1.746D-14 3.502D-14 9.946D-14 3.571D-13 1.901D-12 1.899D-11 0.000D+00 3.982D-11 6.656D-12
   8.0    1.289D-15 1.887D-15 3.864D-15 1.033D-14 3.727D-14 1.685D-13 1.136D-12 1.363D-11 0.000D+00 3.293D-11
   9.0    1.164D-16 1.687D-16 3.400D-16 8.954D-16 3.046D-15 1.349D-14 7.657D-14 6.784D-13 9.804D-12 0.000D+00

   temperature cinetique=   820.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.067D-11 1.237D-11 5.622D-12 1.732D-12 5.886D-13 2.030D-13 6.639D-14 2.137D-14 6.596D-15
   1.0    1.556D-10 0.000D+00 8.529D-11 1.747D-11 7.024D-12 2.269D-12 7.375D-13 2.493D-13 7.961D-14 2.433D-14
   2.0    3.872D-11 1.040D-10 0.000D+00 8.465D-11 1.653D-11 5.873D-12 1.903D-12 6.015D-13 1.963D-13 5.900D-14
   3.0    1.546D-11 1.874D-11 7.441D-11 0.000D+00 7.753D-11 1.471D-11 4.620D-12 1.474D-12 4.531D-13 1.341D-13
   4.0    3.310D-12 5.233D-12 1.009D-11 5.385D-11 0.000D+00 6.809D-11 1.266D-11 3.593D-12 1.110D-12 3.099D-13
   5.0    6.417D-13 9.646D-13 2.046D-12 5.832D-12 3.885D-11 0.000D+00 5.829D-11 1.061D-11 2.787D-12 7.621D-13
   6.0    1.060D-13 1.502D-13 3.175D-13 8.773D-13 3.461D-12 2.792D-11 0.000D+00 4.918D-11 8.720D-12 2.008D-12
   7.0    1.416D-14 2.073D-14 4.100D-14 1.143D-13 4.010D-13 2.076D-12 2.008D-11 0.000D+00 4.118D-11 7.005D-12
   8.0    1.607D-15 2.333D-15 4.715D-15 1.238D-14 4.368D-14 1.922D-13 1.255D-12 1.452D-11 0.000D+00 3.419D-11
   9.0    1.525D-16 2.192D-16 4.359D-16 1.127D-15 3.749D-15 1.616D-14 8.888D-14 7.592D-13 1.051D-11 0.000D+00

   temperature cinetique=   840.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.140D-11 1.255D-11 5.767D-12 1.796D-12 6.167D-13 2.153D-13 7.124D-14 2.319D-14 7.284D-15
   1.0    1.581D-10 0.000D+00 8.649D-11 1.785D-11 7.252D-12 2.370D-12 7.789D-13 2.665D-13 8.610D-14 2.677D-14
   2.0    3.973D-11 1.063D-10 0.000D+00 8.603D-11 1.696D-11 6.095D-12 1.998D-12 6.392D-13 2.111D-13 6.455D-14
   3.0    1.622D-11 1.950D-11 7.647D-11 0.000D+00 7.901D-11 1.515D-11 4.817D-12 1.557D-12 4.843D-13 1.457D-13
   4.0    3.561D-12 5.584D-12 1.062D-11 5.569D-11 0.000D+00 6.961D-11 1.310D-11 3.765D-12 1.179D-12 3.344D-13
   5.0    7.104D-13 1.061D-12 2.219D-12 6.205D-12 4.044D-11 0.000D+00 5.979D-11 1.102D-11 2.936D-12 8.159D-13
   6.0    1.214D-13 1.706D-13 3.560D-13 9.657D-13 3.724D-12 2.926D-11 0.000D+00 5.061D-11 9.102D-12 2.131D-12
   7.0    1.681D-14 2.443D-14 4.768D-14 1.306D-13 4.481D-13 2.258D-12 2.119D-11 0.000D+00 4.254D-11 7.359D-12
   8.0    1.984D-15 2.860D-15 5.706D-15 1.473D-14 5.086D-14 2.180D-13 1.381D-12 1.542D-11 0.000D+00 3.545D-11
   9.0    1.976D-16 2.820D-16 5.533D-16 1.405D-15 4.575D-15 1.921D-14 1.025D-13 8.458D-13 1.124D-11 0.000D+00

   temperature cinetique=   860.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.213D-11 1.273D-11 5.911D-12 1.860D-12 6.451D-13 2.278D-13 7.629D-14 2.511D-14 8.022D-15
   1.0    1.605D-10 0.000D+00 8.767D-11 1.821D-11 7.479D-12 2.472D-12 8.211D-13 2.844D-13 9.289D-14 2.937D-14
   2.0    4.072D-11 1.085D-10 0.000D+00 8.738D-11 1.738D-11 6.317D-12 2.095D-12 6.780D-13 2.265D-13 7.043D-14
   3.0    1.698D-11 2.025D-11 7.849D-11 0.000D+00 8.046D-11 1.558D-11 5.016D-12 1.641D-12 5.165D-13 1.580D-13
   4.0    3.821D-12 5.944D-12 1.116D-11 5.752D-11 0.000D+00 7.111D-11 1.353D-11 3.938D-12 1.249D-12 3.600D-13
   5.0    7.832D-13 1.161D-12 2.398D-12 6.586D-12 4.204D-11 0.000D+00 6.127D-11 1.144D-11 3.087D-12 8.716D-13
   6.0    1.382D-13 1.927D-13 3.973D-13 1.059D-12 3.995D-12 3.061D-11 0.000D+00 5.204D-11 9.487D-12 2.258D-12
   7.0    1.983D-14 2.860D-14 5.511D-14 1.485D-13 4.985D-13 2.448D-12 2.230D-11 0.000D+00 4.389D-11 7.720D-12
   8.0    2.429D-15 3.478D-15 6.852D-15 1.739D-14 5.884D-14 2.460D-13 1.513D-12 1.634D-11 0.000D+00 3.672D-11
   9.0    2.534D-16 3.590D-16 6.956D-16 1.737D-15 5.538D-15 2.268D-14 1.176D-13 9.381D-13 1.199D-11 0.000D+00

   temperature cinetique=   880.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.283D-11 1.290D-11 6.053D-12 1.924D-12 6.738D-13 2.407D-13 8.151D-14 2.711D-14 8.810D-15
   1.0    1.629D-10 0.000D+00 8.883D-11 1.857D-11 7.705D-12 2.575D-12 8.641D-13 3.028D-13 9.999D-14 3.214D-14
   2.0    4.169D-11 1.107D-10 0.000D+00 8.870D-11 1.779D-11 6.539D-12 2.193D-12 7.178D-13 2.426D-13 7.666D-14
   3.0    1.774D-11 2.100D-11 8.049D-11 0.000D+00 8.189D-11 1.602D-11 5.215D-12 1.726D-12 5.497D-13 1.708D-13
   4.0    4.087D-12 6.312D-12 1.169D-11 5.933D-11 0.000D+00 7.259D-11 1.396D-11 4.114D-12 1.321D-12 3.868D-13
   5.0    8.601D-13 1.267D-12 2.583D-12 6.973D-12 4.363D-11 0.000D+00 6.274D-11 1.185D-11 3.240D-12 9.293D-13
   6.0    1.565D-13 2.167D-13 4.414D-13 1.157D-12 4.273D-12 3.197D-11 0.000D+00 5.345D-11 9.874D-12 2.388D-12
   7.0    2.323D-14 3.328D-14 6.333D-14 1.678D-13 5.521D-13 2.646D-12 2.343D-11 0.000D+00 4.524D-11 8.086D-12
   8.0    2.950D-15 4.196D-15 8.168D-15 2.040D-14 6.768D-14 2.762D-13 1.652D-12 1.727D-11 0.000D+00 3.799D-11
   9.0    3.219D-16 4.529D-16 8.668D-16 2.129D-15 6.653D-15 2.660D-14 1.341D-13 1.036D-12 1.276D-11 0.000D+00

   temperature cinetique=   900.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.353D-11 1.307D-11 6.193D-12 1.988D-12 7.028D-13 2.538D-13 8.693D-14 2.921D-14 9.652D-15
   1.0    1.652D-10 0.000D+00 8.996D-11 1.893D-11 7.930D-12 2.678D-12 9.078D-13 3.217D-13 1.074D-13 3.509D-14
   2.0    4.264D-11 1.128D-10 0.000D+00 9.000D-11 1.820D-11 6.761D-12 2.292D-12 7.586D-13 2.592D-13 8.324D-14
   3.0    1.851D-11 2.175D-11 8.246D-11 0.000D+00 8.330D-11 1.644D-11 5.415D-12 1.813D-12 5.839D-13 1.843D-13
   4.0    4.361D-12 6.686D-12 1.224D-11 6.112D-11 0.000D+00 7.405D-11 1.438D-11 4.291D-12 1.395D-12 4.146D-13
   5.0    9.410D-13 1.378D-12 2.775D-12 7.367D-12 4.521D-11 0.000D+00 6.420D-11 1.226D-11 3.396D-12 9.889D-13
   6.0    1.764D-13 2.426D-13 4.884D-13 1.259D-12 4.558D-12 3.332D-11 0.000D+00 5.486D-11 1.026D-11 2.521D-12
   7.0    2.706D-14 3.850D-14 7.238D-14 1.889D-13 6.090D-13 2.850D-12 2.457D-11 0.000D+00 4.658D-11 8.457D-12
   8.0    3.556D-15 5.025D-15 9.670D-15 2.378D-14 7.742D-14 3.087D-13 1.797D-12 1.822D-11 0.000D+00 3.926D-11
   9.0    4.052D-16 5.663D-16 1.071D-15 2.589D-15 7.937D-15 3.100D-14 1.522D-13 1.141D-12 1.354D-11 0.000D+00

   temperature cinetique=   920.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.421D-11 1.323D-11 6.332D-12 2.052D-12 7.320D-13 2.672D-13 9.252D-14 3.140D-14 1.055D-14
   1.0    1.675D-10 0.000D+00 9.108D-11 1.928D-11 8.154D-12 2.782D-12 9.523D-13 3.413D-13 1.151D-13 3.821D-14
   2.0    4.358D-11 1.149D-10 0.000D+00 9.128D-11 1.861D-11 6.984D-12 2.393D-12 8.004D-13 2.764D-13 9.018D-14
   3.0    1.928D-11 2.250D-11 8.440D-11 0.000D+00 8.468D-11 1.687D-11 5.616D-12 1.902D-12 6.191D-13 1.985D-13
   4.0    4.641D-12 7.067D-12 1.278D-11 6.290D-11 0.000D+00 7.548D-11 1.481D-11 4.469D-12 1.470D-12 4.436D-13
   5.0    1.026D-12 1.494D-12 2.973D-12 7.766D-12 4.679D-11 0.000D+00 6.563D-11 1.267D-11 3.554D-12 1.050D-12
   6.0    1.979D-13 2.704D-13 5.383D-13 1.366D-12 4.850D-12 3.468D-11 0.000D+00 5.625D-11 1.065D-11 2.657D-12
   7.0    3.133D-14 4.429D-14 8.231D-14 2.115D-13 6.692D-13 3.062D-12 2.571D-11 0.000D+00 4.792D-11 8.833D-12
   8.0    4.256D-15 5.977D-15 1.137D-14 2.756D-14 8.810D-14 3.436D-13 1.949D-12 1.918D-11 0.000D+00 4.054D-11
   9.0    5.057D-16 7.022D-16 1.313D-15 3.125D-15 9.405D-15 3.593D-14 1.720D-13 1.251D-12 1.434D-11 0.000D+00

   temperature cinetique=   940.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.487D-11 1.339D-11 6.469D-12 2.116D-12 7.615D-13 2.808D-13 9.829D-14 3.369D-14 1.150D-14
   1.0    1.698D-10 0.000D+00 9.217D-11 1.962D-11 8.376D-12 2.886D-12 9.976D-13 3.614D-13 1.231D-13 4.152D-14
   2.0    4.450D-11 1.170D-10 0.000D+00 9.254D-11 1.901D-11 7.206D-12 2.495D-12 8.431D-13 2.942D-13 9.749D-14
   3.0    2.005D-11 2.324D-11 8.632D-11 0.000D+00 8.605D-11 1.729D-11 5.818D-12 1.992D-12 6.552D-13 2.132D-13
   4.0    4.928D-12 7.454D-12 1.333D-11 6.466D-11 0.000D+00 7.690D-11 1.523D-11 4.649D-12 1.547D-12 4.737D-13
   5.0    1.115D-12 1.615D-12 3.177D-12 8.170D-12 4.836D-11 0.000D+00 6.705D-11 1.308D-11 3.713D-12 1.114D-12
   6.0    2.211D-13 3.001D-13 5.911D-13 1.478D-12 5.148D-12 3.605D-11 0.000D+00 5.763D-11 1.105D-11 2.796D-12
   7.0    3.608D-14 5.069D-14 9.316D-14 2.359D-13 7.328D-13 3.280D-12 2.687D-11 0.000D+00 4.925D-11 9.214D-12
   8.0    5.060D-15 7.064D-15 1.330D-14 3.175D-14 9.976D-14 3.808D-13 2.107D-12 2.015D-11 0.000D+00 4.182D-11
   9.0    6.262D-16 8.640D-16 1.598D-15 3.747D-15 1.108D-14 4.142D-14 1.934D-13 1.367D-12 1.516D-11 0.000D+00

   temperature cinetique=   960.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.553D-11 1.355D-11 6.604D-12 2.180D-12 7.912D-13 2.948D-13 1.042D-13 3.606D-14 1.251D-14
   1.0    1.720D-10 0.000D+00 9.324D-11 1.996D-11 8.597D-12 2.991D-12 1.043D-12 3.821D-13 1.314D-13 4.502D-14
   2.0    4.540D-11 1.190D-10 0.000D+00 9.377D-11 1.941D-11 7.428D-12 2.597D-12 8.867D-13 3.125D-13 1.052D-13
   3.0    2.082D-11 2.398D-11 8.822D-11 0.000D+00 8.739D-11 1.770D-11 6.021D-12 2.083D-12 6.923D-13 2.287D-13
   4.0    5.222D-12 7.847D-12 1.387D-11 6.641D-11 0.000D+00 7.830D-11 1.565D-11 4.830D-12 1.625D-12 5.049D-13
   5.0    1.208D-12 1.741D-12 3.386D-12 8.579D-12 4.992D-11 0.000D+00 6.846D-11 1.350D-11 3.875D-12 1.179D-12
   6.0    2.460D-13 3.319D-13 6.470D-13 1.594D-12 5.453D-12 3.741D-11 0.000D+00 5.899D-11 1.144D-11 2.938D-12
   7.0    4.134D-14 5.773D-14 1.050D-13 2.621D-13 7.997D-13 3.504D-12 2.803D-11 0.000D+00 5.057D-11 9.599D-12
   8.0    5.978D-15 8.297D-15 1.546D-14 3.640D-14 1.125D-13 4.205D-13 2.272D-12 2.114D-11 0.000D+00 4.310D-11
   9.0    7.694D-16 1.055D-15 1.931D-15 4.463D-15 1.297D-14 4.749D-14 2.166D-13 1.489D-12 1.600D-11 0.000D+00

   temperature cinetique=   980.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.617D-11 1.370D-11 6.738D-12 2.243D-12 8.211D-13 3.089D-13 1.104D-13 3.853D-14 1.357D-14
   1.0    1.741D-10 0.000D+00 9.429D-11 2.030D-11 8.817D-12 3.097D-12 1.090D-12 4.033D-13 1.400D-13 4.870D-14
   2.0    4.629D-11 1.210D-10 0.000D+00 9.498D-11 1.980D-11 7.650D-12 2.701D-12 9.312D-13 3.314D-13 1.132D-13
   3.0    2.159D-11 2.471D-11 9.009D-11 0.000D+00 8.870D-11 1.812D-11 6.224D-12 2.176D-12 7.302D-13 2.448D-13
   4.0    5.521D-12 8.246D-12 1.442D-11 6.814D-11 0.000D+00 7.967D-11 1.607D-11 5.013D-12 1.705D-12 5.372D-13
   5.0    1.306D-12 1.871D-12 3.601D-12 8.992D-12 5.148D-11 0.000D+00 6.985D-11 1.391D-11 4.038D-12 1.246D-12
   6.0    2.727D-13 3.656D-13 7.057D-13 1.715D-12 5.763D-12 3.877D-11 0.000D+00 6.035D-11 1.183D-11 3.083D-12
   7.0    4.714D-14 6.545D-14 1.177D-13 2.901D-13 8.699D-13 3.735D-12 2.920D-11 0.000D+00 5.189D-11 9.988D-12
   8.0    7.020D-15 9.690D-15 1.787D-14 4.152D-14 1.262D-13 4.626D-13 2.442D-12 2.213D-11 0.000D+00 4.438D-11
   9.0    9.387D-16 1.280D-15 2.318D-15 5.283D-15 1.510D-14 5.420D-14 2.415D-13 1.617D-12 1.685D-11 0.000D+00

   temperature cinetique=  1000.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.680D-11 1.385D-11 6.870D-12 2.307D-12 8.512D-13 3.233D-13 1.167D-13 4.110D-14 1.470D-14
   1.0    1.763D-10 0.000D+00 9.533D-11 2.063D-11 9.036D-12 3.203D-12 1.137D-12 4.250D-13 1.489D-13 5.259D-14
   2.0    4.716D-11 1.230D-10 0.000D+00 9.618D-11 2.019D-11 7.871D-12 2.805D-12 9.766D-13 3.509D-13 1.217D-13
   3.0    2.236D-11 2.544D-11 9.193D-11 0.000D+00 9.000D-11 1.853D-11 6.427D-12 2.270D-12 7.691D-13 2.615D-13
   4.0    5.826D-12 8.649D-12 1.497D-11 6.985D-11 0.000D+00 8.103D-11 1.648D-11 5.196D-12 1.786D-12 5.706D-13
   5.0    1.407D-12 2.006D-12 3.821D-12 9.410D-12 5.303D-11 0.000D+00 7.122D-11 1.432D-11 4.203D-12 1.315D-12
   6.0    3.012D-13 4.015D-13 7.675D-13 1.840D-12 6.079D-12 4.014D-11 0.000D+00 6.169D-11 1.223D-11 3.231D-12
   7.0    5.351D-14 7.387D-14 1.315D-13 3.198D-13 9.435D-13 3.972D-12 3.037D-11 0.000D+00 5.320D-11 1.038D-11
   8.0    8.198D-15 1.125D-14 2.056D-14 4.714D-14 1.411D-13 5.073D-13 2.618D-12 2.314D-11 0.000D+00 4.566D-11
   9.0    1.138D-15 1.542D-15 2.765D-15 6.218D-15 1.748D-14 6.156D-14 2.684D-13 1.752D-12 1.771D-11 0.000D+00

   temperature cinetique=  1020.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.742D-11 1.399D-11 7.000D-12 2.370D-12 8.814D-13 3.379D-13 1.231D-13 4.375D-14 1.589D-14
   1.0    1.783D-10 0.000D+00 9.635D-11 2.095D-11 9.253D-12 3.309D-12 1.185D-12 4.472D-13 1.581D-13 5.667D-14
   2.0    4.801D-11 1.249D-10 0.000D+00 9.735D-11 2.057D-11 8.092D-12 2.911D-12 1.023D-12 3.709D-13 1.305D-13
   3.0    2.313D-11 2.616D-11 9.375D-11 0.000D+00 9.128D-11 1.893D-11 6.631D-12 2.365D-12 8.088D-13 2.789D-13
   4.0    6.137D-12 9.058D-12 1.553D-11 7.155D-11 0.000D+00 8.237D-11 1.690D-11 5.381D-12 1.868D-12 6.052D-13
   5.0    1.512D-12 2.146D-12 4.047D-12 9.831D-12 5.457D-11 0.000D+00 7.257D-11 1.472D-11 4.370D-12 1.386D-12
   6.0    3.315D-13 4.394D-13 8.323D-13 1.969D-12 6.401D-12 4.150D-11 0.000D+00 6.302D-11 1.262D-11 3.382D-12
   7.0    6.047D-14 8.303D-14 1.464D-13 3.515D-13 1.020D-12 4.215D-12 3.155D-11 0.000D+00 5.450D-11 1.078D-11
   8.0    9.523D-15 1.300D-14 2.353D-14 5.328D-14 1.570D-13 5.544D-13 2.801D-12 2.415D-11 0.000D+00 4.694D-11
   9.0    1.370D-15 1.847D-15 3.279D-15 7.278D-15 2.015D-14 6.963D-14 2.971D-13 1.892D-12 1.859D-11 0.000D+00

   temperature cinetique=  1040.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.803D-11 1.414D-11 7.129D-12 2.433D-12 9.117D-13 3.528D-13 1.298D-13 4.650D-14 1.714D-14
   1.0    1.804D-10 0.000D+00 9.734D-11 2.127D-11 9.469D-12 3.415D-12 1.233D-12 4.700D-13 1.675D-13 6.095D-14
   2.0    4.885D-11 1.269D-10 0.000D+00 9.850D-11 2.095D-11 8.313D-12 3.017D-12 1.070D-12 3.915D-13 1.397D-13
   3.0    2.389D-11 2.688D-11 9.554D-11 0.000D+00 9.254D-11 1.933D-11 6.835D-12 2.461D-12 8.494D-13 2.970D-13
   4.0    6.452D-12 9.471D-12 1.608D-11 7.322D-11 0.000D+00 8.369D-11 1.731D-11 5.566D-12 1.952D-12 6.408D-13
   5.0    1.621D-12 2.290D-12 4.277D-12 1.026D-11 5.610D-11 0.000D+00 7.391D-11 1.513D-11 4.538D-12 1.458D-12
   6.0    3.637D-13 4.795D-13 9.000D-13 2.102D-12 6.727D-12 4.286D-11 0.000D+00 6.434D-11 1.302D-11 3.535D-12
   7.0    6.807D-14 9.296D-14 1.624D-13 3.850D-13 1.101D-12 4.463D-12 3.273D-11 0.000D+00 5.579D-11 1.118D-11
   8.0    1.101D-14 1.495D-14 2.681D-14 5.998D-14 1.742D-13 6.041D-13 2.989D-12 2.518D-11 0.000D+00 4.822D-11
   9.0    1.639D-15 2.198D-15 3.866D-15 8.474D-15 2.310D-14 7.843D-14 3.279D-13 2.039D-12 1.948D-11 0.000D+00

   temperature cinetique=  1060.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.862D-11 1.427D-11 7.256D-12 2.495D-12 9.422D-13 3.678D-13 1.366D-13 4.934D-14 1.846D-14
   1.0    1.824D-10 0.000D+00 9.833D-11 2.158D-11 9.683D-12 3.522D-12 1.282D-12 4.933D-13 1.773D-13 6.544D-14
   2.0    4.967D-11 1.287D-10 0.000D+00 9.964D-11 2.132D-11 8.532D-12 3.123D-12 1.118D-12 4.126D-13 1.493D-13
   3.0    2.466D-11 2.759D-11 9.732D-11 0.000D+00 9.378D-11 1.973D-11 7.039D-12 2.558D-12 8.908D-13 3.158D-13
   4.0    6.773D-12 9.888D-12 1.663D-11 7.489D-11 0.000D+00 8.499D-11 1.771D-11 5.752D-12 2.037D-12 6.776D-13
   5.0    1.734D-12 2.438D-12 4.512D-12 1.068D-11 5.762D-11 0.000D+00 7.524D-11 1.554D-11 4.707D-12 1.532D-12
   6.0    3.978D-13 5.217D-13 9.707D-13 2.240D-12 7.058D-12 4.422D-11 0.000D+00 6.564D-11 1.342D-11 3.691D-12
   7.0    7.632D-14 1.037D-13 1.795D-13 4.205D-13 1.184D-12 4.717D-12 3.391D-11 0.000D+00 5.708D-11 1.159D-11
   8.0    1.266D-14 1.712D-14 3.042D-14 6.724D-14 1.926D-13 6.563D-13 3.182D-12 2.621D-11 0.000D+00 4.950D-11
   9.0    1.950D-15 2.602D-15 4.535D-15 9.817D-15 2.638D-14 8.799D-14 3.606D-13 2.191D-12 2.039D-11 0.000D+00

   temperature cinetique=  1080.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.921D-11 1.441D-11 7.382D-12 2.558D-12 9.727D-13 3.831D-13 1.436D-13 5.227D-14 1.984D-14
   1.0    1.844D-10 0.000D+00 9.929D-11 2.189D-11 9.895D-12 3.629D-12 1.331D-12 5.170D-13 1.874D-13 7.015D-14
