Data taken from the website: http://massey.dur.ac.uk/drf/HD_H/H-HD.rate_coefficients
   10
      0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
      0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000   128.400
      0.000     0.000     0.000     0.000     0.000     2.000     0.000     2.000     2.000   384.200
      0.000     0.000     0.000     0.000     0.000     3.000     0.000     3.000     3.000   765.900
      0.000     0.000     0.000     0.000     0.000     4.000     0.000     4.000     4.000  1270.700
      0.000     0.000     0.000     0.000     0.000     5.000     0.000     5.000     5.000  1895.300
      0.000     0.000     0.000     0.000     0.000     6.000     0.000     6.000     6.000  2635.800
      0.000     0.000     0.000     0.000     0.000     7.000     0.000     7.000     7.000  3487.500
      0.000     0.000     0.000     0.000     0.000     8.000     0.000     8.000     8.000  4445.100
      0.000     0.000     0.000     0.000     0.000     9.000     0.000     9.000     9.000  5503.300



 2.7D-18 1.0D-17 1.8D-16 1.2D-14 1.5D-12 1.1D-09 1.7D-11 6.8D-13 3.6D-14 2.6D-15
 7.4D-21 6.6D-20 6.0D-19 2.1D-17 2.8D-15 6.9D-13 1.2D-09 1.3D-11 4.6D-13 2.4D-14
 6.4D-23 2.2D-22 3.6D-21 4.6D-20 3.1D-18 6.7D-16 3.0D-13 1.2D-09 9.5D-12 3.0D-13
 2.4D-25 5.8D-25 6.8D-24 1.4D-22 3.8D-21 5.1D-19 1.6D-16 1.4D-13 1.2D-09 6.9D-12
 2.3D-28 9.9D-28 7.5D-27 1.4D-25 4.6D-24 3.4D-22 7.8D-20 3.9D-17 6.3D-14 1.2D-09



T = 240. K
 ( 0, 0) ( 0, 1) ( 0, 2) ( 0, 3) ( 0, 4) ( 0, 5) ( 0, 6) ( 0, 7) ( 0, 8) ( 0, 9)
 1.2D-09 3.0D-11 1.5D-12 9.7D-14 1.3D-14 1.5D-15 1.1D-16 4.0D-17 1.0D-17 1.1D-18
 5.2D-11 1.2D-09 3.7D-11 1.9D-12 1.1D-13 9.9D-15 1.6D-15 2.2D-16 4.1D-17 7.7D-18
 1.5D-12 2.1D-11 1.2D-09 3.5D-11 1.8D-12 9.0D-14 7.6D-15 1.9D-15 2.4D-16 3.0D-17
 2.8D-14 3.1D-13 1.0D-11 1.2D-09 3.0D-11 1.5D-12 6.4D-14 6.1D-15 1.3D-15 1.4D-16
 5.6D-16 2.9D-15 8.1D-14 4.6D-12 1.2D-09 2.3D-11 1.1D-12 5.3D-14 4.5D-15 5.9D-16
 6.2D-18 2.3D-17 3.6D-16 2.1D-14 2.1D-12 1.2D-09 1.8D-11 7.9D-13 4.2D-14 3.1D-15
 2.5D-20 2.0D-19 1.7D-18 4.9D-17 5.4D-15 1.0D-12 1.3D-09 1.4D-11 5.4D-13 2.9D-14
 2.9D-22 9.3D-22 1.4D-20 1.5D-19 8.5D-18 1.4D-15 4.6D-13 1.3D-09 1.1D-11 3.4D-13
 1.6D-24 3.6D-24 3.7D-23 6.8D-22 1.5D-20 1.6D-18 3.8D-16 2.2D-13 1.2D-09 7.7D-12
